"Freq [GHz]","Phi [deg]","Theta [deg]","normalize(GainTotal) []"
6,90.0000000000002,48,0.00496586941703721
6,90.0000000000002,49,0.00625699702048012
6,90.0000000000002,50,0.00773989229740871
6,90.0000000000002,51,0.00926314287477656
6,90.0000000000002,52,0.0107034947785586
6,90.0000000000002,53,0.0119672854690764
6,90.0000000000002,54,0.0129897790209335
6,90.0000000000002,55,0.0137328912744292
6,90.0000000000002,56,0.0141817996077673
6,90.0000000000002,57,0.0143408996710028
6,90.0000000000002,58,0.0142295117861185
6,90.0000000000002,59,0.0138776640829418
6,90.0000000000002,60,0.0133221977318627
6,90.0000000000002,61,0.0126033598122496
6,90.0000000000002,62,0.0117619771971901
6,90.0000000000002,63,0.0108372439837856
6,90.0000000000002,64,0.0098651072044071
6,90.0000000000002,65,0.0088772010322057
6,90.0000000000002,66,0.00790025752335767
6,90.0000000000002,67,0.00695591045878944
6,90.0000000000002,68,0.00606080600974048
6,90.0000000000002,69,0.00522693759979421
6,90.0000000000002,70,0.00446213042192896
6,90.0000000000002,71,0.00377061178816619
6,90.0000000000002,72,0.00315361535703044
6,90.0000000000002,73,0.0026099791607078
6,90.0000000000002,74,0.00213670843235653
6,90.0000000000002,75,0.00172948400296953
6,90.0000000000002,76,0.00138310523042143
6,90.0000000000002,77,0.00109186296545208
6,90.0000000000002,78,0.000849843012581239
6,90.0000000000002,79,0.000651164060924008
6,90.0000000000002,80,0.000490156344222235
6,90.0000000000002,81,0.000361488565082208
6,90.0000000000002,82,0.000260251107345959
6,90.0000000000002,83,0.000182003467667286
6,90.0000000000002,84,0.000122793341877505
6,90.0000000000002,85,7.91540529765561E-05
6,90.0000000000002,86,4.80861246401633E-05
6,90.0000000000002,87,2.70278776152402E-05
6,90.0000000000002,88,1.38190217420658E-05
6,90.0000000000002,89,6.66037786120093E-06
6,90.0000000000002,90,4.07211874504658E-06
